artist_id,artist_name
1935,Hans Zimmer
5400149,Polo & Pan
10318770,Lucky Daye
429675,Bruno Mars
246791,Drake
891171,Loui
4553724,Ludwig Goransson
5031698,Sebastian Mikael
48605082,Chico Rose
3464,Indeep
11116250,Ella Mai
13721,Jaheim
483,Britney Spears
8058039,Joel Corry
13594287,Roddy Ricch
791,Alan Silvestri
16,Gwen Stefani
17165,Moriarty
4835451,Stwo
4860761,J Balvin
4738512,FKJ
564,Rihanna
5578942,Doja Cat
11855105,Mac Ayres
1085753,Raveena
4050205,The Weeknd
5254662,Ashnikko
74709,Michèle Torr
5848618,Juliette Armanet
54940,Jeane Manson
67853702,WIU
262833,IZA
1009327,Prince Polo
5497121,Bigflo & Oli
142942092,Never Sleeps
2444,Faces
62025,Joe T Vannelli
7574754,Relaxing Office Music Collection
2542,House of Pain
13314683,Bon Entendeur
1408,Sébastien Tellier
16618,Maria Muldaur
2209,Dexys Midnight Runners
8686994,Tion Wayne
712,Warren G
85341122,Kilian K
688,Joe Walsh
3591111,Janko Nilovic
2551,Robert Palmer
1145,Frankie Goes to Hollywood
763,Dr. Dre
893222,Macklemore & Ryan Lewis
7449,Bread
3080,Crash Test Dummies
4622,Paul Young
108050422,Deeperlove
284922,Darius & Finlay
750,Rohff
4469389,Seb Wildblood
460,Sniper
158706,Kid Cudi
174351,Coeur De Pirate
1412564,Nekfeu
310557,Steve Aoki
113625,CJ
4105090,Tinlicker
4044787,Tom Odell
5595093,Mosimann
407188,Swedish House Mafia
434,Tiësto
413,Elton John
2162,The Supremes
363724,L.B. One
5904266,Nathan Dawe
15122,Format
83412552,LF System
425,Blondie
10233,Octave One
760,Danny Elfman
471208,Dimitri Vegas
14855,Joe Smooth
5462679,Jax Jones
5154754,"Dvbbs, Borgeous"
275668,Camo & Krooked
647650,Twenty One Pilots
1328537,Arthur Friedheim
490454,DJ Fresh
569,The Strokes
8737,Mr. Vegas
4999707,Alan Walker
11214,Sub Focus
12186,Shy FX
4946605,GAYLE
82264,Riton
12178,Calvin Harris
6404,Justice
2519,The Notorious B.I.G.
566,Foo Fighters
2523,Bone Thugs-N-Harmony
5259966,Rema
15166511,Lil Nas X
5824,Los Del Río
614025,Yoga
75491,Lady Gaga
1181430,Meghan Trainor
379186,Shaed
7068771,Marília Mendonça
4000,Casting Crowns
315735,Rionegro & Solimões
3881631,Jorge & Mateus
15055,Bruno & Marrone
12173602,PH e Michel
468743,Leonardo Gonçalves
5200697,Israel & Rodolffo
1352049,Fernandinho
9719682,João Gustavo e Murilo
105652422,Felipe & Murillo
7068753,Diego & Victor Hugo
1264091,Diante do Trono
76101972,Karl One
128611552,Tanja Asmr
165907237,Shie Jakie
122245392,Acitos Urban
99037842,Brisbo
191330817,Fina Williams
152807,Mary
128714022,Don Babo
129120322,Sleepy Mio
191420367,Richard Steffke
134564792,Tiger Three
63850362,Don Phillip
985729,Tester
174211267,Alicia Rios
139131852,Hugo Hase
193216717,Carmen Olson
165614147,Smith Mootak
153228932,playground doctor
129224292,Tiffany Two
128468842,Diego Deluxe
129224322,Hugo Dreams
129224332,Holy Silence
4799382,Milton Willis
182129727,Dawn Gialelis
145833242,End Pink
149862002,Nediljko Bazice
127702482,Djoka Maler
189859307,Boudewijn Ardon
134531462,Lucy Hype
14763765,Willy Wiener
181099907,Fet Bend
121755512,Branko La Pallada
185683197,Kolen Hacvern
5239822,Don Mayo
142033062,Bubu Two
131261692,Diana Felder
168349227,Bugiz Bags
185696127,Holenson Gavien
193190037,Amy Storm
193522777,Jessica Stankus
126150672,Kelton Thompson
134534102,Stacy Lui
5951582,Jain
6205,"Crosby, Stills & Nash"
3968561,Martin Garrix
8741,Dolly Parton
3467,Gnarls Barkley
2691,Grand Corps Malade
12096038,Central Cee
256328,Israel Kamakawiwo'ole
1679838,Hoshi
2961,James Taylor
808,Bob Dylan
1,The Beatles
186,Phil Collins
2016,New Order
54185,Luiz Gonzaga
158868,SOJA
863,Scorpions
12992573,Música de Ninar
15,Phoenix
887535,Belle and Sebastian
251670,GANGgajang
4489039,Marcos Antônio
707,Stereophonics
1125,Elvis Presley
255385,Malta
1209354,NX Zero
13545,Skank
8691,Charlie Brown Jr.
13946,Barão Vermelho
15810,Legião Urbana
16230,Os Paralamas do Sucesso
12815,Pitty
66443,Heróis Da Resistência
14691,Engenheiros do Hawaii
4762,Bruce Springsteen
13757225,Damlif
13887,Patrick Watson
10615109,Sopico
4523467,Catching Flies
166413077,Lofi Cities
167324,First Aid Kit
8425170,Sofia Carson
13570,Metronomy
567442,Synapson
670,Francis Cabrel
267292,Butter Bullets
5646104,Sonder
120977242,url
259751,Riccardo Eberspacher
69240462,Pookie Knights
5835993,Vianney
254937,dhruv
4732999,James Bay
170,Bryan Adams
5593078,Kofs
114,Era
1519461,PNL
997,David Bowie
10438,Donavon Frankenreiter
5079421,Jeremy Loops
56650312,Sonnee
228,Alicia Keys
2636,Joe Dassin
6447672,Zwette
1191615,Jul
6554601,Souffrance
8358182,Bruit Blanc
493,Moby
3059,Bobby McFerrin
1032,Nancy Sinatra
5947658,Kendji Girac
6933055,Mairo
1253117,Yoga Tribe
378751,Claudio Capéo
152469152,Snazzy
7420680,Leon Bridges
16398,Passenger
2830461,Yebba
10742336,Elley Duhe
1606315,alt-J
14621667,Koba LaD
1331495,Sangit Om
249,Ben Harper
6796,Hugh Masekela
7212794,Valley Boy
7626764,Parcels
7699874,AURORA
542,David Guetta
5950222,TEEMID
8098,Quantic
5661,Christopher Cross
